,E,T,N
42.9,0.8333333333329321,-1.785977328664774e-13,1.5000000001355729
42.910000000000004,0.8333333333329314,-1.9596613953300983e-13,1.5000000001347753
42.92,0.8333333333329306,-2.1325792620382171e-13,1.5000000001339788
42.93,0.8333333333329299,-2.3047272152837263e-13,1.5000000001331832
42.94,0.8333333333329291,-2.4761015415611267e-13,1.5000000001323885
42.95,0.8333333333329285,-2.6466985273650697e-13,1.500000000131595
42.96,0.8333333333329278,-2.8165144591897737e-13,1.5000000001308023
42.97,0.833333333332927,-2.985545623529892e-13,1.5000000001300107
42.980000000000004,0.8333333333329264,-3.1537883068800256e-13,1.5000000001292202
42.99,0.8333333333329257,-3.321238795734434e-13,1.5000000001284306
43.0,0.8333333333329249,-3.487893376587756e-13,1.5000000001276421
43.01,0.8333333333329243,-3.653748335934468e-13,1.5000000001268545
43.02,0.8333333333329236,-3.818799960269203e-13,1.5000000001260683
43.03,0.8333333333329229,-3.9830445360862164e-13,1.500000000125283
43.04,0.8333333333329223,-4.1464783498801295e-13,1.5000000001244986
43.050000000000004,0.8333333333329216,-4.309097688145552e-13,1.5000000001237157
43.06,0.8333333333329209,-4.4708988373767774e-13,1.5000000001229337
43.07,0.8333333333329203,-4.631878084068391e-13,1.5000000001221527
43.08,0.8333333333329197,-4.792031714714895e-13,1.5000000001213731
43.09,0.833333333332919,-4.951356015810925e-13,1.5000000001205946
43.1,0.8333333333329184,-5.109847273850725e-13,1.5000000001198173
43.11,0.8333333333329177,-5.267501775328937e-13,1.500000000119041
43.12,0.8333333333329171,-5.424315806740049e-13,1.5000000001182658
43.13,0.8333333333329165,-5.580285654578661e-13,1.500000000117492
43.14,0.8333333333329159,-5.735407605339057e-13,1.5000000001167195
43.15,0.8333333333329153,-5.889677945515854e-13,1.5000000001159481
43.160000000000004,0.8333333333329147,-6.043092961603658e-13,1.5000000001151779
43.17,0.8333333333329142,-6.195648940096751e-13,1.5000000001144091
43.18,0.8333333333329135,-6.347342167489751e-13,1.5000000001136413
43.19,0.8333333333329129,-6.498168930277129e-13,1.500000000112875
43.2,0.8333333333329124,-6.648125514953521e-13,1.5000000001121099
43.21,0.8333333333329118,-6.797208208013204e-13,1.500000000111346
43.22,0.8333333333329112,-6.945413295950784e-13,1.5000000001105835
43.230000000000004,0.8333333333329106,-7.092737065260854e-13,1.5000000001098224
43.24,0.83333333333291,-7.239175802437717e-13,1.5000000001090625
43.25,0.8333333333329095,-7.384725793975986e-13,1.500000000108304
43.26,0.8333333333329089,-7.529383326370143e-13,1.5000000001075469
43.27,0.8333333333329085,-7.673144686114807e-13,1.500000000106791
43.28,0.8333333333329079,-7.816006159704255e-13,1.5000000001060367
43.29,0.8333333333329074,-7.9579640336331e-13,1.5000000001052836
43.300000000000004,0.8333333333329068,-8.099014594395938e-13,1.500000000104532
43.31,0.8333333333329064,-8.239154128487083e-13,1.5000000001037816
43.32,0.8333333333329058,-8.378378922401113e-13,1.500000000103033
43.33,0.8333333333329054,-8.516685262632529e-13,1.5000000001022855
43.34,0.8333333333329048,-8.654069435675955e-13,1.5000000001015397
43.35,0.8333333333329044,-8.790527728025661e-13,1.5000000001007952
43.36,0.8333333333329038,-8.92605642617627e-13,1.5000000001000522
43.37,0.8333333333329034,-9.060651816622274e-13,1.5000000000993106
43.38,0.8333333333329029,-9.194310185858255e-13,1.5000000000985705
43.39,0.8333333333329024,-9.327027820378546e-13,1.500000000097832
43.4,0.8333333333329019,-9.458801006677723e-13,1.500000000097095
43.410000000000004,0.8333333333329015,-9.589626031250392e-13,1.5000000000963594
43.42,0.833333333332901,-9.719499180590855e-13,1.5000000000956255
43.43,0.8333333333329006,-9.848416741193712e-13,1.500000000094893
43.44,0.8333333333329002,-9.976374999553461e-13,1.5000000000941622
43.45,0.8333333333328997,-1.010337024216469e-12,1.5000000000934328
43.46,0.8333333333328993,-1.0229398755521736e-12,1.5000000000927052
43.47,0.8333333333328989,-1.0354456826119154e-12,1.500000000091979
43.480000000000004,0.8333333333328985,-1.0478540740451565e-12,1.5000000000912546
43.49,0.833333333332898,-1.0601646785013268e-12,1.5000000000905318
43.5,0.8333333333328977,-1.0723771246298872e-12,1.5000000000898104
43.51,0.8333333333328973,-1.084491041080286e-12,1.500000000089091
43.52,0.8333333333328968,-1.0965060565019836e-12,1.5000000000883729
43.53,0.8333333333328965,-1.1084217995444095e-12,1.5000000000876565
43.54,0.8333333333328962,-1.1202378988570265e-12,1.500000000086942
43.550000000000004,0.8333333333328957,-1.1319539830892903e-12,1.500000000086229
43.56,0.8333333333328954,-1.1435696808906346e-12,1.5000000000855178
43.57,0.833333333332895,-1.1550846209105178e-12,1.5000000000848084
43.58,0.8333333333328947,-1.1664984317983903e-12,1.5000000000841007
